name,attachment_type
Classic Red Dot Sight,Optic
5.45 Caliber Ammo,Ammunition
Red Dot Sight 3,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
Extended Mag A,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Tough,Perk
Long Shot,Perk
Holographic Sight 2,Optic
Melee Master,Perk
OWC Light Compensator,Muzzle
3X Tactical Scope 1,Optic
MIP Light Barrel (Short),Barrel
Classic Holographic Sight,Optic
Merc Foregrip,Underbarrel
Holographic Sight 3,Optic
MIP Laser 5mW,Laser
4X Tactical Scope,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
3X Tactical Scope 2,Optic
MIP Strike Stock,Stock
Sleight of Hand,Perk
3X Tactical Scope 3,Optic
Tactical Suppressor,Muzzle
OWC Ranger,Barrel
Red Dot Sight 4,Optic
Ranger Foregrip,Underbarrel
Red Dot Sight 5,Optic
Large Extended Mag B,Ammunition
Granulated Grip Tape,Rear Grip
Holographic Sight 1,Optic
YKM Combat Stock,Stock
Wounding,Perk
4.4X Tactical Scope OWC,Optic
MIP Light Flash Guard,Muzzle
OWC Marksman,Barrel
4.4X Tactical Scope RTC,Optic
MIP Extended Light Barrel,Barrel
Tactical Foregrip A,Underbarrel
Red Dot Sight 1,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Red Dot Sight 2,Optic
No Stock,Stock
Tactical Scope,Optic
Monolithic Suppressor,Muzzle
OWC Skeleton Stock,Stock
Disable,Perk
OWC Laser - Tactical,Laser
