name,attachment_type
Red Dot Sight 3,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
Extended Mag A,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mW,Laser
Psilos Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Tough,Perk
OWC Laser - Tactical,Laser
Holographic Sight 2,Optic
Melee Master,Perk
OWC Light Compensator,Muzzle
3X Tactical Scope 1,Optic
No Stock,Stock
Merc Foregrip,Underbarrel
Holographic Sight 3,Optic
Classic Holographic Sight,Optic
MIP Laser 5mW,Laser
4X Tactical Scope,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
3X Tactical Scope 2,Optic
MIP Gatekeeper,Stock
Sleight of Hand,Perk
3X Tactical Scope 3,Optic
Tactical Suppressor,Muzzle
Gunner Stock,Barrel
Red Dot Sight 4,Optic
Ranger Foregrip,Underbarrel
Red Dot Sight 5,Optic
M67 Ammo,Ammunition
Granulated Grip Tape,Rear Grip
Holographic Sight 1,Optic
Custom Strike,Stock
Wounding,Perk
4.4X Tactical Scope OWC,Optic
MIP Light Flash Guard,Muzzle
Intruder Stock,Barrel
4.4X Tactical Scope RTC,Optic
Tactical Foregrip A,Underbarrel
Red Dot Sight 1,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Red Dot Sight 2,Optic
MIP Custom Long,Barrel
Tactical Scope,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
Long Shot,Perk
MIP Tracker Stock,Stock
YKM Combat Stock,Stock
