name,attachment_type
Classic Red Dot Sight,Optic
Red Dot Sight 3,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
44 Round Extended Mag,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Tough,Perk
Long Shot,Perk
Holographic Sight 2,Optic
Melee Master,Perk
OWC Light Compensator,Muzzle
3X Tactical Scope 1,Optic
MIP Light,Barrel
Merc Foregrip,Underbarrel
Holographic Sight 3,Optic
MIP Laser 5mW,Laser
4X Tactical Scope,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
3X Tactical Scope 2,Optic
RTC Steady Stock,Stock
Classic Holographic Sight,Optic
Sleight of Hand,Perk
3X Tactical Scope 3,Optic
Tactical Suppressor,Muzzle
OWC Ranger,Barrel
Red Dot Sight 4,Optic
Ranger Foregrip,Underbarrel
Red Dot Sight 5,Optic
Fast Extended Mag,Ammunition
Granulated Grip Tape,Rear Grip
Holographic Sight 1,Optic
OWC Skeleton Stock,Stock
Wounding,Perk
4.4X Tactical Scope OWC,Optic
MIP Light Flash Guard,Muzzle
OWC Marksman,Barrel
4.4X Tactical Scope RTC,Optic
Tactical Foregrip A,Underbarrel
MIP Light Muzzle Brake,Muzzle
Red Dot Sight 1,Optic
Full Ammo,Perk
Red Dot Sight 2,Optic
Rubberized Grip Tape,Rear Grip
No Stock,Stock
Tactical Scope,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
OWC Laser - Tactical,Laser
