name,attachment_type
Red Dot Sight 3,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
Extended Mag A,Ammunition
Stippled Grip Tape,Rear Grip
M13 Skeleton Stock,Stock
Sleight of Hand,Perk
RTC Combat Stock,Stock
RTC Laser 1mW,Laser
.300 RTC 30 Round Reload,Ammunition
FMJ,Perk
Red Dot Sight 6,Optic
Tough,Perk
OWC Laser - Tactical,Laser
Holographic Sight 2,Optic
Melee Master,Perk
OWC Light Compensator,Muzzle
3X Tactical Scope 1,Optic
No Stock,Stock
Merc Foregrip,Underbarrel
Holographic Sight 3,Optic
Classic Holographic Sight,Optic
MIP Laser 5mW,Laser
4X Tactical Scope,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
3X Tactical Scope 2,Optic
.300 RTC Double Stack 40 Round,Ammunition
3X Tactical Scope 3,Optic
Tactical Suppressor,Muzzle
RTC Silencer Barrel,Barrel
Red Dot Sight 4,Optic
Ranger Foregrip,Underbarrel
Red Dot Sight 5,Optic
Large Extended Mag B,Ammunition
Granulated Grip Tape,Rear Grip
Holographic Sight 1,Optic
RTC Assault Tactical,Stock
Wounding,Perk
4.4X Tactical Scope OWC,Optic
MIP Light Flash Guard,Muzzle
RTC Mini Barrel,Barrel
4.4X Tactical Scope RTC,Optic
Tactical Foregrip A,Underbarrel
Red Dot Sight 1,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Red Dot Sight 2,Optic
RTC Heavy Long Barrel,Barrel
Tactical Scope,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
Long Shot,Perk
