name,attachment_type
Red Dot Sight 1,Optic
RTC Muzzle Brake,Muzzle
Rapid Fire Barrel,Barrel
1mW Steady Aim Laser,Laser
Foregrip,Underbarrel
Extended Mag A,Ammunition
Rustle Grip Tape,Rear Grip
Light Weight Stock,Stock
Sleight of Hand,Perk
Tactical Scope,Optic
MIP Flashguard,Muzzle
Well-Forged Barrel,Barrel
Infiltrator Foregrip,Underbarrel
Tough,Perk
3X Tactical Scope 2,Optic
OWC Light Suppressor,Muzzle
Built-In Silence Barrel,Barrel
5mW Combat Laser,Laser
Patrol Foregrip,Underbarrel
Marathon Stock,Stock
FMJ,Perk
Red Dot Sight 2,Optic
Infantry Compensator,Muzzle
Sturdy Grip Tape,Rear Grip
Long Shot,Perk
Classic Holographic Sight,Optic
Melee Master,Perk
3X Tactical Scope 1,Optic
OWC Eliminator,Muzzle
Long-Range Barrel,Barrel
Field Agent Foregrip,Underbarrel
No Stock,Stock
Red Dot Sight 3,Optic
Wounding,Perk
Holographic Sight 1,Optic
Agency Suppressor,Muzzle
3X Tactical Scope 3,Optic
Taskforce Barrel,Barrel
Red Dot Sight 4,Optic
Full Ammo,Perk
Holographic Sight 2,Optic
RTC Speed Foregrip,Underbarrel
4X Tactical Scope,Optic
Aim Assist Laser,Laser
Red Dot Sight 5,Optic
Firm Grip Tape,Rear Grip
4.4X Tactical Scope OWC,Optic
Agile Stock,Stock
4.4X Tactical Scope RTC,Optic
Disable,Perk
Red Dot Sight 6,Optic
Double Stack Mag,Ammunition
