name,attachment_type
Classic Red Dot Sight,Optic
Red Dot Sight 3,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
38 Round Extended Mag,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Tough,Perk
Long Shot,Perk
Holographic Sight 2,Optic
Melee Master,Perk
OWC Light Compensator,Muzzle
3X Tactical Scope 1,Optic
Fast Reload,Ammunition
MIP Light Barrel (Short),Barrel
Holographic Sight 3,Optic
Merc Foregrip,Underbarrel
MIP Laser 5mW,Laser
4X Tactical Scope,Optic
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope 2,Optic
Operator Foregrip,Underbarrel
Classic Holographic Sight,Optic
RTC Steady Stock,Stock
3X Tactical Scope 3,Optic
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
Red Dot Sight 4,Optic
MIP Light,Barrel
Ranger Foregrip,Underbarrel
Red Dot Sight 5,Optic
46 Round Extended Mag,Ammunition
Holographic Sight 1,Optic
Granulated Grip Tape,Rear Grip
YKM Combat Stock,Stock
4.4X Tactical Scope OWC,Optic
Wounding,Perk
MIP Light Flash Guard,Muzzle
4.4X Tactical Scope RTC,Optic
MIP Extended Light Barrel,Barrel
42 Round Fast Reload,Ammunition
Red Dot Sight 1,Optic
Tactical Foregrip A,Underbarrel
Red Dot Sight 2,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Tactical Scope,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
OWC Laser - Tactical,Laser
Stopping Power Reload,Ammunition
