name,attachment_type
Red Dot Sight 1,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
120 Round Reload,Ammunition
Shoulder Stock - Stippled,Rear Grip
RTC Laser 1mw,Laser
Ranger Foregrip,Underbarrel
FMJ,Perk
Tactical Scope,Optic
Stealth Kill,Perk
Classic Holographic Sight,Optic
Empty Reload,Perk
Headshot XP,Perk
OWC Light Compensator,Muzzle
Red Dot Sight 2,Optic
Chopper Infantry,Barrel
Merc Foregrip,Underbarrel
Holographic Sight 2,Optic
MIP Laser 5mW,Laser
MIP Strike Stock,Stock
Holographic Sight 1,Optic
3X Tactical Scope 2,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
4.4X Tactical Scope RTC,Optic
YKM Laser - Ranger,Laser
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
Chopper Special Forces,Barrel
YKM Light Stock,Stock
Bipod,Underbarrel
Red Dot Sight 3,Optic
3X Tactical Scope 1,Optic
Holographic Sight 3,Optic
150 Round Reload,Ammunition
Shoulder Stock - Granulated,Rear Grip
Red Dot Sight 4,Optic
RTC Laser - Merc,Laser
Wounding,Perk
YKM Light Flash Guard,Muzzle
Red Dot Sight 5,Optic
Chopper Heavy,Barrel
Tactical Foregrip A,Underbarrel
Red Dot Sight 6,Optic
4X Tactical Scope,Optic
YKM Combat Stock,Stock
Full Ammo,Perk
Shoulder Stock - Rubberized,Rear Grip
Heavy Handle,Underbarrel
3X Tactical Scope 3,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
4.4X Tactical Scope OWC,Optic
OWC Laser - Tactical,Laser
