name,attachment_type
Red Dot Sight 1,Optic
RTC Muzzle Brake,Muzzle
MIP Extended Light Barrel,Barrel
1mW Steady Aim Laser,Laser
84 Round Hybrid Mag,Ammunition
Rustle Grip Tape,Rear Grip
Light-Weight Stock,Stock
Sleight of Hand,Perk
FMJ,Perk
Tactical Scope,Optic
MIP Flashguard,Muzzle
Headshot XP,Perk
3X Tactical Scope 2,Optic
Non-slip Foregrip,Rear Grip
OWC Light Suppressor,Muzzle
Long-Range Barrel,Barrel
5mW Combat Laser,Laser
Crossbar,Underbarrel
Marathon Stock,Stock
Empty Reload,Perk
Red Dot Sight 2,Optic
Infantry Compensator,Muzzle
Sturdy Grip Tape,Rear Grip
4.4X Tactical Scope OWC,Optic
Classic Holographic Sight,Optic
3X Tactical Scope 1,Optic
Rapid Fire Barrel,Barrel
OWC Eliminator,Muzzle
No Stock,Stock
Red Dot Sight 3,Optic
Wounding,Perk
Holographic Sight 1,Optic
Agency Suppressor,Muzzle
3X Tactical Scope 3,Optic
Red Dot Sight 4,Optic
Full Ammo,Perk
Holographic Sight 2,Optic
4X Tactical Scope,Optic
Aim Assist Laser,Laser
Red Dot Sight 5,Optic
Firm Grip Tape,Rear Grip
Agile Stock,Stock
Disable,Perk
Red Dot Sight 6,Optic
4.4X Tactical Scope RTC,Optic
