name,attachment_type
Red Dot Sight 1,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
Stippled Grip Tape,Rear Grip
RTC Laser 1mW,Laser
MIP Stalker Stock,Stock
FMJ,Perk
Tactical Scope,Optic
OWC Laser - Tactical,Laser
MIP Light,Barrel
Holger 26C Lightweight Polymer Mag,Ammunition
Classic Holographic Sight,Optic
Holger26K Double-Stack Carbine Mag,Ammunition
MIP Light Barrel (Short),Barrel
Red Dot Sight 2,Optic
Merc Foregrip,Underbarrel
MIP Laser 5mW,Laser
Holographic Sight 2,Optic
Holographic Sight 1,Optic
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope 2,Optic
Operator Foregrip,Underbarrel
RTC Steady Stock,Stock
4.4X Tactical Scope RTC,Optic
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
Empty Reload,Perk
3X Tactical Scope 1,Optic
Red Dot Sight 3,Optic
OWC Light Compensator,Muzzle
Granulated Grip Tape,Rear Grip
Holographic Sight 3,Optic
YKM Combat Stock,Stock
Red Dot Sight 4,Optic
MIP Light Flash Guard,Muzzle
Tactical Foregrip A,Underbarrel
4X Tactical Scope,Optic
Red Dot Sight 5,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Red Dot Sight 6,Optic
No Stock,Stock
3X Tactical Scope 3,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
4.4X Tactical Scope OWC,Optic
Stealth Kill,Perk
Bipod,Underbarrel
Long Shot,Perk
Ranger Foregrip,Underbarrel
