name,attachment_type
Classic Red Dot Sight,Optic
40 Round Light Reload,Ammunition
Red Dot Sight 1,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Tactical Scope,Optic
Stealth Kill,Perk
Empty Reload,Perk
Headshot XP,Perk
Classic Holographic Sight,Optic
OWC Light Compensator,Muzzle
MIP Ultralight Barrel,Barrel
Red Dot Sight 2,Optic
Merc Foregrip,Underbarrel
MIP Laser 5mW,Laser
Holographic Sight 2,Optic
Holographic Sight 1,Optic
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope 2,Optic
Operator Foregrip,Underbarrel
RTC Steady Stock,Stock
4.4X Tactical Scope RTC,Optic
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
MIP Short Barrel,Barrel
3X Tactical Scope 1,Optic
Red Dot Sight 3,Optic
30 Round Light Reload,Ammunition
Granulated Grip Tape,Rear Grip
Holographic Sight 3,Optic
YKM Combat Stock,Stock
Red Dot Sight 4,Optic
YKM Light Flash Guard,Muzzle
Tactical Foregrip A,Underbarrel
4X Tactical Scope,Optic
Red Dot Sight 5,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Red Dot Sight 6,Optic
No Stock,Stock
3X Tactical Scope 3,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
4.4X Tactical Scope OWC,Optic
OWC Laser - Tactical,Laser
