name,attachment_type
Classic Red Dot Sight,Optic
Red Dot Sight 1,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
75 Round Belt,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Tactical Scope,Optic
Stealth Kill,Perk
Classic Holographic Sight,Optic
Empty Reload,Perk
Headshot XP,Perk
OWC Light Compensator,Muzzle
Red Dot Sight 2,Optic
Compagnie Generale Sevier - Light Barrel,Barrel
Merc Foregrip,Underbarrel
Holographic Sight 2,Optic
MIP Laser 5mW,Laser
Holographic Sight 1,Optic
3X Tactical Scope 2,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
4.4X Tactical Scope RTC,Optic
RTC Steady Stock,Stock
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
Compagnie Generale Sevier - Short Barrel,Barrel
Bipod,Underbarrel
Red Dot Sight 3,Optic
3X Tactical Scope 1,Optic
Holographic Sight 3,Optic
100 Round Belt,Ammunition
Granulated Grip Tape,Rear Grip
Red Dot Sight 4,Optic
YKM Combat Stock,Stock
YKM Light Flash Guard,Muzzle
Red Dot Sight 5,Optic
MIP Extended Light Barrel,Barrel
Tactical Foregrip A,Underbarrel
Red Dot Sight 6,Optic
4X Tactical Scope,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Ranger Foregrip,Underbarrel
3X Tactical Scope 3,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
4.4X Tactical Scope OWC,Optic
OWC Laser - Tactical,Laser
