name,attachment_type
Classic Red Dot Sight,Optic
Red Dot Sight 1,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
50 Round Reload,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Tactical Scope,Optic
Stealth Kill,Perk
Empty Reload,Perk
Classic Holographic Sight,Optic
Headshot XP,Perk
OWC Light Compensator,Muzzle
Red Dot Sight 2,Optic
"RTC 12.4"" Light Barrel",Barrel
Merc Foregrip,Underbarrel
Holographic Sight 2,Optic
MIP Laser 5mW,Laser
Holographic Sight 1,Optic
3X Tactical Scope 2,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
4.4X Tactical Scope RTC,Optic
RTC Steady Stock,Stock
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
"RTC 18.2"" Short",Barrel
Bipod,Underbarrel
Red Dot Sight 3,Optic
3X Tactical Scope 1,Optic
Holographic Sight 3,Optic
60 Round Reload,Ammunition
Granulated Grip Tape,Rear Grip
Red Dot Sight 4,Optic
YKM Combat Stock,Stock
YKM Light Flash Guard,Muzzle
Red Dot Sight 5,Optic
"RTC 25.4"" Extended Barrel",Barrel
Tactical Foregrip A,Underbarrel
Red Dot Sight 6,Optic
4X Tactical Scope,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Ranger Foregrip,Underbarrel
3X Tactical Scope 3,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
4.4X Tactical Scope OWC,Optic
OWC Laser - Tactical,Laser
