name,attachment_type
Thermite Reload,Ammunition
OWC Light Suppressor,Muzzle
Headshot Slow,Perk
3X Tactical Scope 1,Optic
OWC Laser - Tactical,Laser
MIP Extended Light Barrel,Barrel
Fast Reload,Ammunition
Bullet Return,Perk
YKM Light Stock,Stock
OWC Marksman,Barrel
Sleight of Hand,Perk
RTC Light Muzzle Brake,Muzzle
Fast Switch,Perk
6X Tactical Scope 2,Optic
Wounding,Perk
MIP Light Flash Guard,Muzzle
3X Tactical Scope 2,Optic
RTC Compensator,Muzzle
FMJ,Perk
3X Tactical Scope 3,Optic
Full Ammo,Perk
YKM Combat Stock,Stock
Tactical Scope,Optic
Granulated Grip Tape,Rear Grip
6X Tactical Scope 3,Optic
RTC Steady Stock,Stock
Monolithic Suppressor,Muzzle
Bipod,Underbarrel
Stippled Grip Tape,Rear Grip
OWC Ranger,Barrel
Rubberized Grip Tape,Rear Grip
Disable,Perk
4X Tactical Scope,Optic
Tactical Suppressor,Muzzle
OWC Stopping Power Reload,Ammunition
