name,attachment_type
Red Dot Sight 1,Optic
OWC Light Suppressor,Muzzle
.30 - 30 Ammo,Ammunition
MIP Sport Stock,Stock
20.0 Forged Barrel,Barrel
Red Dot Sight 4,Optic
Granulated Grip Tape,Rear Grip
Tactical Scope,Optic
OWC Marksman,Barrel
FMJ,Perk
Custom Accuracy Stock,Stock
Holographic Sight 2,Optic
Bullet Return,Perk
4X Tactical Scope,Optic
Monolithic Suppressor,Muzzle
Headshot Slow,Perk
Cartridge Sleeve,Stock
Rubberized Grip Tape,Rear Grip
6X Tactical Scope 3,Optic
OWC Laser - Tactical,Laser
Red Dot Sight 3,Optic
Red Dot Sight 6,Optic
MIP Light Flash Guard,Muzzle
Full Ammo,Perk
3X Tactical Scope 2,Optic
Holographic Sight 1,Optic
Stippled Grip Tape,Rear Grip
18.0 Sport Barrel,Barrel
Holographic Sight 3,Optic
Disable,Perk
6X Tactical Scope 2,Optic
RTC Compensator,Muzzle
Classic Holographic Sight,Optic
Sleight of Hand,Perk
3X Tactical Scope 3,Optic
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope 1,Optic
Ultralight Hollow,Stock
Red Dot Sight 2,Optic
Red Dot Sight 5,Optic
Tactical Suppressor,Muzzle
Wounding,Perk
