name,attachment_type
OWC Light Suppressor,Muzzle
Headshot Slow,Perk
OWC Laser - Tactical,Laser
MIP Extended Light Barrel,Barrel
30 Round Extended Mag,Ammunition
Bullet Return,Perk
No Stock,Stock
Strike Foregrip,Underbarrel
OWC Marksman,Barrel
Sleight of Hand,Perk
RTC Light Muzzle Brake,Muzzle
Fast Switch,Perk
6X Tactical Scope 2,Optic
Bipod,Underbarrel
Wounding,Perk
MIP Light Flash Guard,Muzzle
3X Tactical Scope 2,Optic
FMJ,Perk
3X Tactical Scope 3,Optic
Merc Foregrip,Underbarrel
Full Ammo,Perk
OWC Ranger Stock,Stock
Tactical Scope,Optic
Granulated Grip Tape,Rear Grip
Tactical Foregrip A,Underbarrel
6X Tactical Scope 3,Optic
RTC Steady Stock,Stock
Monolithic Suppressor,Muzzle
Operator Foregrip,Underbarrel
10 Round Light Reload,Ammunition
Stippled Grip Tape,Rear Grip
MIP Light,Barrel
Rubberized Grip Tape,Rear Grip
Ranger Foregrip,Underbarrel
Disable,Perk
4X Tactical Scope,Optic
Tactical Suppressor,Muzzle
3X Tactical Scope 1,Optic
