name,attachment_type
Extended Mag A,Ammunition
Red Dot Sight 1,Optic
OWC Light Suppressor,Muzzle
.338 5 Round Reload,Ammunition
YKM Combat Stock,Stock
 RTC Light Extended Barrel,Barrel
Strike Foregrip,Underbarrel
Red Dot Sight 4,Optic
Tactical Foregrip A,Underbarrel
Tactical Scope,Optic
RTC 26 Heavy Long Barrel,Barrel
FMJ,Perk
YKM Light Stock,Stock
Holographic Sight 2,Optic
Bullet Return,Perk
.300 5 Round Reload,Ammunition
4X Tactical Scope,Optic
Monolithic Suppressor,Muzzle
Headshot Slow,Perk
RTC Steady Stock,Stock
6X Tactical Scope 3,Optic
RTC Light Monolithic Silencer Barrel,Barrel
OWC Laser - Tactical,Laser
Operator Foregrip,Underbarrel
Holographic Sight 3,Optic
Light Bolt,attachment_bolt
Red Dot Sight 6,Optic
MIP Light Flash Guard,Muzzle
Full Ammo,Perk
3X Tactical Scope 2,Optic
Merc Foregrip,Underbarrel
Holographic Sight 1,Optic
SP-R 208 RTC Light Barrel,Barrel
Holographic Sight 3,Optic
Disable,Perk
6X Tactical Scope 2,Optic
RTC Compensator,Muzzle
Classic Holographic Sight,Optic
Sleight of Hand,Perk
Bipod,Underbarrel
Heavy Bolt,attachment_bolt
3X Tactical Scope 3,Optic
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope 1,Optic
OWC Skeleton Stock,Stock
Red Dot Sight 2,Optic
Ranger Foregrip,Underbarrel
Red Dot Sight 5,Optic
Tactical Suppressor,Muzzle
Wounding,Perk
