name,attachment_type
Tactical Suppressor,Muzzle
Long Ammo Tube (+2),Ammunition
RTC Laser 1mw,Laser
Sleight of Hand,Perk
MIP Extended Light Barrel,Barrel
Speed Up Kill,Perk
Slide Flak Jacket,Perk
Red Dot Sight 6,Optic
Granulated Grip Tape,Rear Grip
OWC Light Compensator,Muzzle
Holographic Sight 2,Optic
Strike Foregrip,Underbarrel
Classic Holographic Sight,Optic
Choke,Muzzle
3X Tactical Scope 1,Optic
Sawed-Off Barrel (-2),Barrel
OWC Laser - Tactical,Laser
Holographic Sight 3,Optic
YKM Light Stock,Stock
Wounding,Perk
3X Tactical Scope 2,Optic
MIP Laser 5mW,Laser
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope 3,Optic
Merc Foregrip,Underbarrel
Rubberized Grip Tape,Rear Grip
Red Dot Sight 4,Optic
YKM Combat Stock,Stock
Operator Foregrip,Underbarrel
Red Dot Sight 5,Optic
Marauder Suppressor,Muzzle
Tactical Foregrip A,Underbarrel
Holographic Sight 1,Optic
Tactical Guard,Underbarrel
RTC Steady Stock,Stock
Red Dot Sight 3,Optic
Stippled Grip Tape,Rear Grip
Red Dot Sight 2,Optic
Monolithic Suppressor,Muzzle
MIP Stalker Stock,Stock
Full Ammo,Perk
Steady Guard,Underbarrel
No Stock,Stock
Tactical Scope,Optic
Flash Guard,Muzzle
Disable,Perk
Extended Barrel (+2),Barrel
500gr Slug,Ammunition
