name,attachment_type
Tactical Suppressor,Muzzle
Extended Mag C,Ammunition
RTC Laser 1mw,Laser
Sleight of Hand,Perk
MIP Extended Light Barrel,Barrel
Speed Up Kill,Perk
Slide Flak Jacket,Perk
Red Dot Sight 3,Optic
Red Dot Sight 6,Optic
No Stock,Stock
Classic Holographic Sight,Optic
Granulated Grip Tape,Rear Grip
Holographic Sight 2,Optic
OWC Light Compensator,Muzzle
Strike Foregrip,Underbarrel
3X Tactical Scope 1,Optic
Choke,Muzzle
MIP Light Barrel (Short),Barrel
Holographic Sight 3,Optic
Large Extended Mag D,Ammunition
OWC Laser - Tactical,Laser
3X Tactical Scope 2,Optic
YKM Light Stock,Stock
Wounding,Perk
3X Tactical Scope 3,Optic
MIP Laser 5mW,Laser
RTC Light Muzzle Brake,Muzzle
Red Dot Sight 4,Optic
Merc Foregrip,Underbarrel
Rubberized Grip Tape,Rear Grip
Red Dot Sight 5,Optic
OWC Marksman,Barrel
Stippled Grip Tape,Rear Grip
Holographic Sight 1,Optic
Monolithic Suppressor,Muzzle
Full Ammo,Perk
Red Dot Sight 3,Optic
YKM Combat Stock,Stock
Red Dot Sight 2,Optic
Flash Guard,Muzzle
Disable,Perk
Tactical Scope,Optic
MIP Stalker Stock,Stock
Slug Reload,Ammunition
