name,attachment_type
Tactical Suppressor,Muzzle
Long Ammo Tube (+2),Ammunition
RTC Laser 1mw,Laser
Sleight of Hand,Perk
RTC Extended Light Barrel,Barrel
Speed Up Kill,Perk
Slide Flak Jacket,Perk
Red Dot Sight 3,Optic
Red Dot Sight 6,Optic
Granulated Grip Tape,Rear Grip
Classic Holographic Sight,Optic
OWC Light Compensator,Muzzle
Holographic Sight 2,Optic
Strike Foregrip,Underbarrel
Choke,Muzzle
3X Tactical Scope 1,Optic
Sawed-Off Barrel (-2),Barrel
OWC Laser - Tactical,Laser
Holographic Sight 3,Optic
YKM Light Stock,Stock
Wounding,Perk
3X Tactical Scope 2,Optic
MIP Laser 5mW,Laser
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope 3,Optic
Merc Foregrip,Underbarrel
Rubberized Grip Tape,Rear Grip
Red Dot Sight 4,Optic
Stippled Grip Tape,Rear Grip
Monolithic Suppressor,Muzzle
Red Dot Sight 5,Optic
Full Ammo,Perk
No Stock,Stock
Holographic Sight 1,Optic
Flash Guard,Muzzle
Red Dot Sight 2,Optic
Red Dot Sight 3,Optic
Disable,Perk
Tactical Scope,Optic
500gr Slug,Ammunition
