name,attachment_type
Tactical Suppressor,Muzzle
16 Round Extended Reload Case,Ammunition
RTC Laser 1mw,Laser
Sleight of Hand,Perk
Light Barrel (Long),Barrel
Speed Up Kill,Perk
Slide Flak Jacket,Perk
Red Dot Sight 3,Optic
Red Dot Sight 6,Optic
MIP Stalker Stock,Stock
Classic Holographic Sight,Optic
Granulated Grip Tape,Rear Grip
Holographic Sight 2,Optic
OWC Light Compensator,Muzzle
Strike Foregrip,Underbarrel
3X Tactical Scope 1,Optic
Choke,Muzzle
Light Barrel (Short),Barrel
Holographic Sight 3,Optic
Fast Reload Reload Case,Ammunition
OWC Laser - Tactical,Laser
3X Tactical Scope 2,Optic
YKM Light Stock,Stock
Wounding,Perk
3X Tactical Scope 3,Optic
MIP Laser 5mW,Laser
RTC Light Muzzle Brake,Muzzle
Red Dot Sight 4,Optic
Merc Foregrip,Underbarrel
Rubberized Grip Tape,Rear Grip
Red Dot Sight 5,Optic
OWC Customized Heavy Barrel,Barrel
Stippled Grip Tape,Rear Grip
Holographic Sight 1,Optic
Monolithic Suppressor,Muzzle
Full Ammo,Perk
Red Dot Sight 3,Optic
YKM Combat Stock,Stock
Red Dot Sight 2,Optic
Flash Guard,Muzzle
Disable,Perk
Tactical Scope,Optic
500gr Slug,Ammunition
