name,attachment_type
Classic Red Dot Sight,Optic
Red Dot Sight 1,Optic
Merc Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
48 Round Extended Mag,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Wild Hipfire,Perk
Classic Holographic Sight,Optic
Double Kill,Perk
Fast Reload Kill,Perk
Holographic Sight 2,Optic
OWC Light Compensator,Muzzle
MIP Extended Light Barrel,Barrel
3X Tactical Scope 1,Optic
MIP Laser 5mW,Laser
Holographic Sight 3,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
MIP Strike Stock,Stock
3X Tactical Scope 2,Optic
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
3X Tactical Scope 3,Optic
Ranger Foregrip,Underbarrel
Red Dot Sight 4,Optic
56 Round Extended Mag,Ammunition
Granulated Grip Tape,Rear Grip
YKM Combat Stock,Stock
Wounding,Perk
Red Dot Sight 5,Optic
MIP Light Flash Guard,Muzzle
OWC Marksman,Barrel
Holographic Sight 1,Optic
OWC Foregrip,Underbarrel
Red Dot Sight 3,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Red Dot Sight 2,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
Tactical Scope,Optic
OWC Laser - Tactical,Laser
