name,attachment_type
Akimbo,Perk
Red Dot Sight 1,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
Extended Mag A,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Wild Hipfire,Perk
Classic Holographic Sight,Optic
Double Kill,Perk
Fast Reload Kill,Perk
Holographic Sight 2,Optic
OWC Light Compensator,Muzzle
MIP Extended Light Barrel,Barrel
3X Tactical Scope 1,Optic
Merc Foregrip,Underbarrel
MIP Laser 5mW,Laser
Holographic Sight 3,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
3X Tactical Scope 2,Optic
RTC Steady Stock,Stock
Sleight of Hand,Perk
3X Tactical Scope 3,Optic
Tactical Suppressor,Muzzle
MIP Light,Barrel
Ranger Foregrip,Underbarrel
Red Dot Sight 4,Optic
Fast Reload,Ammunition
Granulated Grip Tape,Rear Grip
Red Dot Sight 5,Optic
YKM Combat Stock,Stock
Wounding,Perk
MIP Light Flash Guard,Muzzle
Holographic Sight 1,Optic
MIP Light Barrel (Short),Barrel
Tactical Foregrip A,Underbarrel
Red Dot Sight 3,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
YKM Laser - Ranger,Laser
Red Dot Sight 2,Optic
No Stock,Stock
Monolithic Suppressor,Muzzle
OWC Laser - Tactical,Laser
Disable,Perk
Tactical Scope,Optic
YKM Integral Suppressor Light,Barrel
RTC Laser - Merc,Laser
Light Mag,Ammunition
