name,attachment_type
Classic Red Dot Sight,Optic
Red Dot Sight 1,Optic
Merc Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Wild Hipfire,Perk
Double Kill,Perk
Fast Reload Kill,Perk
OWC Light Compensator,Muzzle
Holographic Sight 2,Optic
Classic Holographic Sight,Optic
MIP Extended Light Barrel,Barrel
MIP Laser 5mW,Laser
3X Tactical Scope 1,Optic
OWC Foregrip,Underbarrel
RTC Light Muzzle Brake,Muzzle
Holographic Sight 3,Optic
MIP Strike Stock,Stock
Sleight of Hand,Perk
3X Tactical Scope 2,Optic
Tactical Suppressor,Muzzle
Ranger Foregrip,Underbarrel
3X Tactical Scope 3,Optic
YKM Combat Stock,Stock
Granulated Grip Tape,Rear Grip
Red Dot Sight 4,Optic
Wounding,Perk
MIP Light Flash Guard,Muzzle
OWC Marksman,Barrel
Red Dot Sight 5,Optic
Operator Foregrip,Underbarrel
Red Dot Sight 3,Optic
Full Ammo,Perk
Holographic Sight 1,Optic
Rubberized Grip Tape,Rear Grip
Red Dot Sight 2,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
Tactical Scope,Optic
OWC Laser - Tactical,Laser
