name,attachment_type
Red Dot Sight 1,Optic
Extended Mag A,Ammunition
OWC Light Suppressor,Muzzle
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
RTC Sawed-Off,Barrel
OWC Laser - Tactical,Laser
Red Dot Sight 6,Optic
Sleight of Hand,Perk
RTC Steady Stock,Stock
OWC Skeleton Stock,Stock
MIP Laser 5mW,Laser
Holographic Sight 2,Optic
OWC Light Compensator,Muzzle
Double Kill,Perk
3X Tactical Scope 1,Optic
Wild Hipfire,Perk
Holographic Sight 3,Optic
RTC Light Muzzle Brake,Muzzle
Rubberized Grip Tape,Rear Grip
3X Tactical Scope 2,Optic
Fast Reload Kill,Perk
No Stock,Stock
3X Tactical Scope 3,Optic
Tactical Suppressor,Muzzle
MIP Extended Light Barrel,Barrel
Red Dot Sight 4,Optic
Large Caliber Ammo A,Ammunition
Granulated Grip Tape,Rear Grip
Red Dot Sight 5,Optic
Wounding,Perk
MIP Light Flash Guard,Muzzle
Holographic Sight 1,Optic
OWC Marksman,Barrel
Red Dot Sight 3,Optic
Full Ammo,Perk
Classic Holographic Sight,Optic
Red Dot Sight 2,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
Tactical Scope,Optic
FMJ,Perk
