name,attachment_type
Classic Red Dot Sight,Optic
Red Dot Sight 1,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
45 Round Extended Mag,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Wild Hipfire,Perk
Classic Holographic Sight,Optic
Double Kill,Perk
Fast Reload Kill,Perk
Holographic Sight 2,Optic
OWC Light Compensator,Muzzle
RTC Recon Tac Long,Barrel
3X Tactical Scope 1,Optic
Merc Foregrip,Underbarrel
MIP Laser 5mW,Laser
Holographic Sight 3,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
3X Tactical Scope 2,Optic
MIP Strike Stock,Stock
Sleight of Hand,Perk
3X Tactical Scope 3,Optic
Tactical Suppressor,Muzzle
MIP Customized Light Barrel,Barrel
Ranger Foregrip,Underbarrel
Red Dot Sight 4,Optic
Fast Reload,Ammunition
Granulated Grip Tape,Rear Grip
Red Dot Sight 5,Optic
YKM Combat Stock,Stock
Wounding,Perk
MIP Light Flash Guard,Muzzle
Holographic Sight 1,Optic
MIP Tactical Barrel,Barrel
Tactical Foregrip A,Underbarrel
Red Dot Sight 3,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
10mm 30 Round Reload,Ammunition
Red Dot Sight 2,Optic
No Stock,Stock
Monolithic Suppressor,Muzzle
Monolithic Integrated Suppressor,Barrel
Disable,Perk
Tactical Scope,Optic
OWC Laser - Tactical,Laser
