name,attachment_type
Classic Red Dot Sight,Optic
Red Dot Sight 1,Optic
Strike Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
38 Round Extended Mag,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
OWC Skeleton Stock,Stock
FMJ,Perk
Red Dot Sight 6,Optic
Wild Hipfire,Perk
Double Kill,Perk
Classic Holographic Sight,Optic
Fast Reload Kill,Perk
Holographic Sight 2,Optic
OWC Light Compensator,Muzzle
MIP Light Barrel (Short),Barrel
3X Tactical Scope 1,Optic
Merc Foregrip,Underbarrel
MIP Laser 5mW,Laser
50 Round Extended Mag,Ammunition
Holographic Sight 3,Optic
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope 2,Optic
Operator Foregrip,Underbarrel
MIP Strike Stock,Stock
3X Tactical Scope 3,Optic
Sleight of Hand,Perk
Tactical Scope,Optic
YKM Integral Suppressor Light,Barrel
Ranger Foregrip,Underbarrel
Red Dot Sight 4,Optic
Granulated Grip Tape,Rear Grip
Red Dot Sight 5,Optic
YKM Combat Stock,Stock
Wounding,Perk
38 Round Fast Reload,Ammunition
Holographic Sight 1,Optic
MIP Light Flash Guard,Muzzle
OWC Marksman,Barrel
Tactical Foregrip A,Underbarrel
Red Dot Sight 3,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Red Dot Sight 2,Optic
No Stock,Stock
Monolithic Suppressor,Muzzle
Disable,Perk
Tactical Suppressor,Muzzle
OWC Laser - Tactical,Laser
