name,attachment_type
Classic Red Dot Sight,Optic
Rapid Fire,Perk
Red Dot Sight 6,Optic
Merc Foregrip,Underbarrel
OWC Light Suppressor,Muzzle
Extended Mag A,Ammunition
Stippled Grip Tape,Rear Grip
RTC Laser 1mw,Laser
YKM Light Stock,Stock
FMJ,Perk
Red Dot Sight 5,Optic
Wild Hipfire,Perk
Double Kill,Perk
Fast Reload Kill,Perk
Holographic Sight 1,Optic
OWC Light Compensator,Muzzle
MIP Extended Light Barrel,Barrel
3X Tactical Scope 1,Optic
MIP Laser 5mW,Laser
Holographic Sight 2,Optic
RTC Light Muzzle Brake,Muzzle
Operator Foregrip,Underbarrel
MIP Strike Stock,Stock
3X Tactical Scope 2,Optic
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
3X Tactical Scope 3,Optic
Ranger Foregrip,Underbarrel
Red Dot Sight 3,Optic
Granulated Grip Tape,Rear Grip
YKM Combat Stock,Stock
Wounding,Perk
Red Dot Sight 4,Optic
MIP Light Flash Guard,Muzzle
OWC Marksman,Barrel
Classic Holographic Sight,Optic
OWC Foregrip,Underbarrel
Red Dot Sight 2,Optic
Full Ammo,Perk
Rubberized Grip Tape,Rear Grip
Red Dot Sight 1,Optic
Monolithic Suppressor,Muzzle
Disable,Perk
Tactical Scope,Optic
OWC Laser - Tactical,Laser
