name,attachment_type
10 Round Reload,Ammunition
OWC Light Suppressor,Muzzle
OWC Skeleton Stock,Stock
Headshot Slow,Perk
Stippled Grip Tape,Rear Grip
Bullet Return,Perk
Full Ammo,Perk
Assassin Short,Barrel
3x Tactical Scope A,Optic
RTC Compensator,Muzzle
Tactical Scope,Optic
3x Tactical Scope B,Optic
RTC Steady Stock,Stock
FMJ,Perk
6X Tactical Scope B,Optic
MIP Light Flash Guard,Muzzle
12 Round Reload,Ammunition
0.5 Light Long,Barrel
3X Tactical Scope C,Optic
Tactical Suppressor,Muzzle
Anti-Material Heavy,Barrel
4X Tactical Scope,Optic
RTC Light Muzzle Brake,Muzzle
Rubberized Grip Tape,Rear Grip
Wounding,Perk
6X Tactical Scope C,Optic
Monolithic Suppressor,Muzzle
OWC Monolithic Suppressor,Barrel
YKM Light Stock,Stock
Disable,Perk
Fast Switch,Perk
Granulated Grip Tape,Rear Grip
Sleight of Hand,Perk
Bipod,Underbarrel
MIP Stopping Power Reload,Ammunition
