name,attachment_type
MIP Light Flash Guard,Muzzle
Extended Mag A,Ammunition
FMJ,Perk
OWC Light Suppressor,Muzzle
OWC Skeleton Stock,Stock
Fast Switch,Perk
Bullet Return,Perk
MIP Strike Stock,Stock
Sleight of Hand,Perk
.408 Standard,Barrel
OWC Laser - Tactical,Laser
Tactical Suppressor,Muzzle
3x Tactical Scope B,Optic
Headshot Slow,Perk
6X Tactical Scope B,Optic
Wounding,Perk
Disable,Perk
OWC Ranger Stock,Stock
3X Tactical Scope C,Optic
RTC Light Muzzle Brake,Muzzle
Free Floating,Barrel
Full Ammo,Perk
Tactical Scope,Optic
Monolithic Suppressor,Muzzle
YKM Combat Stock,Stock
MIP Light,Barrel
6X Tactical Scope C,Optic
MIP Light Flash Guard,Muzzle
4X Tactical Scope,Optic
Bipod,Underbarrel
RTC Compensator,Muzzle
Large Extended Mag B,Ammunition
3x Tactical Scope A,Optic
