name,attachment_type
OWC Light Suppressor,Muzzle
OWC Laser - Tactical,Laser
Bullet Return,Perk
Rubberized Grip Tape,Rear Grip
10 Round Reload,Ammunition
YKM Light Stock,Stock
Headshot Slow,Perk
Full Ammo,Perk
3x Tactical Scope A,Optic
FMJ,Perk
Sleight of Hand,Perk
YKM Lightweight Short,Barrel
3x Tactical Scope B,Optic
Tactical Scope,Optic
Tactical Suppressor,Muzzle
6X Tactical Scope B,Optic
Fast Switch,Perk
12 Round Reload,Ammunition
RTC Light Muzzle Brake,Muzzle
3X Tactical Scope C,Optic
Stippled Grip Tape,Rear Grip
Monolithic Suppressor,Muzzle
RTC Steady Stock,Stock
YKM Lightweight Long,Barrel
MIP Light Flash Guard,Muzzle
6X Tactical Scope C,Optic
OWC Skeleton Stock,Stock
Granulated Grip Tape,Rear Grip
.408 Standard,Barrel
Disable,Perk
RTC Compensator,Muzzle
4X Tactical Scope,Optic
Wounding,Perk
OWC Stopping Power Reload,Ammunition
