name,attachment_type
OWC Light Suppressor,Muzzle
Headshot Slow,Perk
Tactical Scope,Optic
OWC Laser - Tactical,Laser
Operator Foregrip,Underbarrel
15 Round Reload,Ammunition
Bullet Return,Perk
YKM Light Stock,Stock
Tactical Foregrip A,Underbarrel
Sleight of Hand,Perk
RTC Light Muzzle Brake,Muzzle
Fast Switch,Perk
3x Tactical Scope A,Optic
Wounding,Perk
MIP Light Flash Guard,Muzzle
3x Tactical Scope B,Optic
MIP Precise,Barrel
FMJ,Perk
6X Tactical Scope B,Optic
Full Ammo,Perk
OWC Skeleton Stock,Stock
3X Tactical Scope C,Optic
Merc Foregrip,Underbarrel
6X Tactical Scope C,Optic
No Stock,Stock
Monolithic Suppressor,Muzzle
Bipod,Underbarrel
20 Round Reload,Ammunition
MIP Steady,Barrel
Strike Foregrip,Underbarrel
MIP Extended Light Barrel,Barrel
MIP Strike Stock,Stock
Disable,Perk
4X Tactical Scope,Optic
Tactical Suppressor,Muzzle
Ranger Foregrip,Underbarrel
RTC Compensator,Muzzle
