name,attachment_type
OWC Light Suppressor,Muzzle
Headshot Slow,Perk
Tactical Scope,Optic
OWC Laser - Tactical,Laser
Operator Foregrip,Underbarrel
Fragment Ammo,Ammunition
OWC Light Compensator,Muzzle
YKM Light Stock,Stock
Tactical Foregrip A,Underbarrel
Sleight of Hand,Perk
RTC Light Muzzle Brake,Muzzle
Fast Switch,Perk
3x Tactical Scope A,Optic
Wounding,Perk
MIP Light Flash Guard,Muzzle
3x Tactical Scope B,Optic
MIP Custom Light,Barrel
Heavy Duty Trigger,Underbarrel
6X Tactical Scope B,Optic
Full Ammo,Perk
OWC Skeleton Stock,Stock
3X Tactical Scope C,Optic
Merc Foregrip,Underbarrel
6X Tactical Scope C,Optic
High Explosive Ammo,Ammunition
Light Trigger,Underbarrel
Bipod,Underbarrel
RTC Modified,Barrel
Strike Foregrip,Underbarrel
OWC Tac Long,Barrel
RTC Steady Stock,Stock
Disable,Perk
4X Tactical Scope,Optic
Tactical Suppressor,Muzzle
Ranger Foregrip,Underbarrel
Electromagnetic Ammo,Ammunition
