name,attachment_type
9 Round Reload,Ammunition
OWC Light Suppressor,Muzzle
OWC Laser - Tactical,Laser
MIP Light Flash Guard,Muzzle
YKM Light Stock,Stock
Headshot Slow,Perk
3x Tactical Scope A,Optic
Bullet Return,Perk
MIP Tac Long,Barrel
MIP Memorial Cowboy,Barrel
Full Ammo,Perk
3x Tactical Scope B,Optic
Sleight of Hand,Perk
FMJ,Perk
6X Tactical Scope B,Optic
OWC Skeleton Stock,Stock
RTC Compensator,Muzzle
3X Tactical Scope C,Optic
Bipod,Underbarrel
Monolithic Suppressor,Muzzle
Granulated Grip Tape,Rear Grip
Fast Switch,Perk
RTC Steady Stock,Stock
12 Round Reload,Ammunition
Wounding,Perk
6X Tactical Scope C,Optic
RTC Light Muzzle Brake,Muzzle
MIP Steady,Barrel
YKM Combat Stock,Stock
Stippled Grip Tape,Rear Grip
4X Tactical Scope,Optic
Disable,Perk
Tactical Scope,Optic
Rubberized Grip Tape,Rear Grip
Tactical Suppressor,Muzzle
MIP Stalker Stock,Stock
Stealth Kill,Perk
