name,attachment_type
OWC Light Suppressor,Muzzle
25x59mm Explosive Mag,Ammunition
OWC Skeleton Stock,Stock
MIP Extended Light Barrel,Barrel
Granulated Grip Tape,Rear Grip
OWC Marksman,Barrel
FMJ,Perk
YKM Light Stock,Stock
Bullet Return,Perk
6X Tactical Scope C,Optic
Monolithic Suppressor,Muzzle
25x59mm Thermite Mag,Ammunition
RTC Steady Stock,Stock
Rubberized Grip Tape,Rear Grip
4X Tactical Scope,Optic
OWC Laser - Tactical,Laser
MIP Light Flash Guard,Muzzle
Full Ammo,Perk
3x Tactical Scope A,Optic
Stippled Grip Tape,Rear Grip
MIP Light Barrel (Short),Barrel
Disable,Perk
6X Tactical Scope B,Optic
RTC Compensator,Muzzle
Sleight of Hand,Perk
3x Tactical Scope B,Optic
RTC Light Muzzle Brake,Muzzle
Headshot Slow,Perk
Bipod,Underbarrel
Tactical Suppressor,Muzzle
Wounding,Perk
3X Tactical Scope C,Optic
