name,attachment_type
OWC Light Suppressor,Muzzle
Bullet Return,Perk
Strike Foregrip,Underbarrel
Fast Switch,Perk
OWC Laser - Tactical,Laser
FMJ,Perk
Headshot Slow,Perk
13 Round Reload,Ammunition
Monolithic Suppressor,Muzzle
4X Tactical Scope,Optic
RTC Light Muzzle Brake,Muzzle
Sleight of Hand,Perk
Tactical Suppressor,Muzzle
3x Tactical Scope A,Optic
Wounding,Perk
3x Tactical Scope B,Optic
MIP Light Flash Guard,Muzzle
Bipod,Underbarrel
Tactical Scope,Optic
Disable,Perk
MIP Strike Stock,Stock
6X Tactical Scope B,Optic
Operator Foregrip,Underbarrel
Tactical Foregrip A,Underbarrel
RTC Lightweight,Barrel
Ranger Foregrip,Underbarrel
3X Tactical Scope C,Optic
Full Ammo,Perk
18 Round Reload,Ammunition
No Stock,Stock
6X Tactical Scope C,Optic
Merc Foregrip,Underbarrel
RTC CQB,Barrel
RTC Long,Barrel
RTC Compensator,Muzzle
OWC Stopping Power Reload,Ammunition
YKM Ghost Stock,Stock
